text,sentiment,clean_text
"I have only had it for a few weeks, but so far, so good.",positive,weeks far good
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",positive,case best part download pictures laptop using ir even send pictures laptop phone
Would recommend this item.,positive,would recommend item
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,positive,choice headset yearsgreat sound good volume good noise cancellation
"Nice case, feels good in your hands.",positive,nice case feels good hands
The item received was Counterfeit.,negative,item received counterfeit
"Just really good.. So far, probably the best BT headset I have ever had.",positive,really good far probably best bt headset ever
Works fine.,positive,works fine
I received my headset in good time and was happy with it.,positive,received headset good time happy
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,positive,pleased see could replace well travled swivel holster blackberry flip
My sister has one also and she loves it.,positive,sister one also loves
Good Quality.,positive,good quality
This is by far the worst purchase I've made on Amazon.,negative,far worst purchase ive made amazon
Excellent dual-purpose headset.,positive,excellent dualpurpose headset
Excellent!.,positive,excellent
Does not work for listening to music with the cingular 8125.,negative,work listening music cingular
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",positive,seems completely secure holding belt keeping iphone inside
"The bottowm line...another worthless, cheap gimmick from Sprint.",negative,bottowm lineanother worthless cheap gimmick sprint
Having trouble with volume.,negative,trouble volume
The only good thing was that it fits comfortably on small ears.,positive,good thing fits comfortably small ears
WARNING - DO NOT BUY!!.,negative,warning buy
"I am pairing this with my iphone, and I could not be happier with it so far.",positive,pairing iphone could happier far
"When it opens, the battery connection is broken and the device is turned off.",negative,opens battery connection broken device turned
"I didn't want the clip going over the top of my ear, causing discomfort.",negative,didnt want clip going top ear causing discomfort
Best headset ever!!!.,positive,best headset ever
Don't trust their website and don't expect any helpful support.,negative,dont trust website dont expect helpful support
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,positive,loudglad say plantronics maintains flawless connection cell static normal use
The speaker is of low quality so as making the ring tones sound very cheap.,negative,speaker low quality making ring tones sound cheap
"Fits comfortably, came with three sizes of earbud tips.",positive,fits comfortably came three sizes earbud tips
Excellent product for the price.,positive,excellent product price
Bad Reception.,negative,bad reception
This product is very High quality Chinese CRAP!!!!!!,negative,product high quality chinese crap
